Topic,Precision,Recall,F1-Score,Support
No Match,1.00,1.00,1.00,34
micro avg,1.00,1.00,1.00,34
macro avg,1.00,1.00,1.00,34
weighted avg,1.00,1.00,1.00,34
samples avg,1.00,1.00,1.00,34
