config_name,first_choice_pct,avg_student_satisfaction_rate,workload_std_dev,balancing_penalty_weight,prog_first_choice,prog_second_choice,student_topic_satisfaction
Config_2,86.66666666666667,83.08333333333333,2.9854509326746332,1.0,10,5,20
Config_3,81.33333333333333,84.69444444444444,2.819818932107056,1.0,10,5,50
Config_4,80.66666666666666,84.77777777777777,2.860445426963886,1.0,10,5,100
Config_8,56.666666666666664,84.77777777777777,2.145978789204481,1.0,10,10,100
Config_17,100.0,76.13888888888889,3.2683555560309854,1.0,20,5,10
Config_18,99.33333333333333,76.69444444444444,3.2624663219989065,1.0,20,5,20
Config_19,89.33333333333333,82.75,3.2089768861777777,1.0,20,5,50
Config_21,100.0,76.13888888888889,3.2683555560309854,1.0,20,10,10
Config_23,84.0,84.08333333333333,3.017486530825868,1.0,20,10,50
Config_24,82.0,84.58333333333333,2.873859968328604,1.0,20,10,100
Config_33,100.0,76.13888888888889,3.2683555560309854,1.0,50,5,10
Config_35,100.0,76.19444444444444,3.2742341973506033,1.0,50,5,50
Config_36,90.0,82.41666666666667,3.2089768861777777,1.0,50,5,100
Config_37,100.0,76.13888888888889,3.2683555560309854,1.0,50,10,10
Config_39,100.0,76.19444444444444,3.2742341973506033,1.0,50,10,50
Config_41,100.0,76.13888888888889,3.2683555560309854,1.0,50,25,10
Config_42,100.0,76.19444444444444,3.2742341973506033,1.0,50,25,20
Config_48,60.0,82.75,2.351234119944769,1.0,50,50,100
Config_49,100.0,76.13888888888889,3.2683555560309854,1.0,100,5,10
Config_53,100.0,76.13888888888889,3.2683555560309854,1.0,100,10,10
Config_54,100.0,76.19444444444444,3.2742341973506033,1.0,100,10,20
Config_56,100.0,76.19444444444444,3.2742341973506033,1.0,100,10,100
Config_57,100.0,76.13888888888889,3.2683555560309854,1.0,100,25,10
Config_60,99.33333333333333,76.69444444444444,3.2624663219989065,1.0,100,25,100
Config_61,100.0,76.13888888888889,3.2683555560309854,1.0,100,50,10
Config_62,100.0,76.19444444444444,3.2742341973506033,1.0,100,50,20
Config_63,100.0,76.19444444444444,3.2742341973506033,1.0,100,50,50
Config_72,56.00000000000001,84.77777777777777,2.100694473598633,2.0,10,10,100
Config_82,99.33333333333333,76.63888888888889,3.256566437786205,2.0,20,5,20
Config_83,85.33333333333334,83.75,2.972540024034119,2.0,20,5,50
Config_84,81.33333333333333,84.69444444444444,2.819818932107056,2.0,20,5,100
Config_87,84.66666666666667,83.91666666666666,2.9790024727996283,2.0,20,10,50
Config_98,100.0,76.13888888888889,3.2683555560309854,2.0,50,5,20
Config_99,100.0,76.19444444444444,3.2742341973506033,2.0,50,5,50
Config_100,90.0,82.41666666666667,3.2089768861777777,2.0,50,5,100
Config_101,100.0,75.80555555555554,3.244734486332041,2.0,50,10,10
Config_102,100.0,76.13888888888889,3.2683555560309854,2.0,50,10,20
Config_106,100.0,76.13888888888889,3.2683555560309854,2.0,50,25,20
Config_107,98.0,77.52777777777777,3.2624663219989065,2.0,50,25,50
Config_110,63.33333333333333,80.6388888888889,2.423727652387186,2.0,50,50,20
Config_112,60.66666666666667,82.75,2.423727652387186,2.0,50,50,100
Config_114,100.0,76.13888888888889,3.2683555560309854,2.0,100,5,20
Config_115,100.0,76.19444444444444,3.2742341973506033,2.0,100,5,50
Config_118,100.0,76.13888888888889,3.2683555560309854,2.0,100,10,20
Config_119,100.0,76.19444444444444,3.2742341973506033,2.0,100,10,50
Config_120,100.0,76.19444444444444,3.2742341973506033,2.0,100,10,100
Config_122,100.0,76.13888888888889,3.2683555560309854,2.0,100,25,20
Config_123,100.0,76.19444444444444,3.2742341973506033,2.0,100,25,50
Config_124,99.33333333333333,76.69444444444444,3.2624663219989065,2.0,100,25,100
Config_126,100.0,76.13888888888889,3.2683555560309854,2.0,100,50,20
Config_127,100.0,76.19444444444444,3.2742341973506033,2.0,100,50,50
Config_129,61.33333333333333,80.30555555555556,1.104812010751216,5.0,10,5,10
Config_130,62.66666666666667,81.97222222222223,1.1723718407341157,5.0,10,5,20
Config_132,53.333333333333336,84.77777777777777,1.087266315416148,5.0,10,5,100
Config_146,96.66666666666667,77.30555555555554,3.1239512028137835,5.0,20,5,20
Config_147,84.0,83.80555555555557,2.7924062483856504,5.0,20,5,50
Config_148,82.0,84.52777777777777,2.8129908054254,5.0,20,5,100
Config_149,91.33333333333333,76.80555555555554,2.7507750590068234,5.0,20,10,10
Config_150,86.66666666666667,79.47222222222223,2.621918330716329,5.0,20,10,20
Config_151,77.33333333333333,84.30555555555557,2.4630800687866383,5.0,20,10,50
Config_152,76.0,84.69444444444444,2.5323738411632353,5.0,20,10,100
Config_163,100.0,76.13888888888889,3.2683555560309854,5.0,50,5,50
Config_164,90.66666666666666,82.08333333333333,3.148478564546349,5.0,50,5,100
Config_167,100.0,76.13888888888889,3.2683555560309854,5.0,50,10,50
Config_171,97.33333333333334,77.80555555555556,3.244734486332041,5.0,50,25,50
Config_176,60.66666666666667,82.75,2.423727652387186,5.0,50,50,100
Config_179,100.0,76.13888888888889,3.2683555560309854,5.0,100,5,50
Config_180,100.0,76.19444444444444,3.2742341973506033,5.0,100,5,100
