config_name,first_choice_pct,avg_student_satisfaction_rate,workload_std_dev,balancing_penalty_weight,prog_first_choice,prog_second_choice,student_topic_satisfaction
Config_1,98.66666666666667,77.91666666666667,3.291807132030181,1.0,10,5,10
Config_3,80.66666666666666,84.69444444444444,2.7716688187152894,1.0,10,5,50
Config_4,80.0,84.77777777777777,2.736757268800234,1.0,10,5,100
Config_7,59.333333333333336,84.69444444444444,2.007063000205139,1.0,10,10,50
Config_17,100.0,77.08333333333334,3.309286752439168,1.0,20,5,10
Config_19,89.33333333333333,82.58333333333333,3.093018497399263,1.0,20,5,50
Config_20,81.33333333333333,84.58333333333333,2.7924062483856504,1.0,20,5,100
Config_22,97.33333333333334,78.58333333333334,3.2976439669779847,1.0,20,10,20
Config_23,84.66666666666667,83.75,2.9790024727996283,1.0,20,10,50
Config_33,100.0,77.08333333333334,3.309286752439168,1.0,50,5,10
Config_34,100.0,77.08333333333334,3.309286752439168,1.0,50,5,20
Config_37,100.0,77.08333333333334,3.309286752439168,1.0,50,10,10
Config_38,100.0,77.08333333333334,3.309286752439168,1.0,50,10,20
Config_41,100.0,77.08333333333334,3.309286752439168,1.0,50,25,10
Config_42,100.0,77.08333333333334,3.309286752439168,1.0,50,25,20
Config_43,98.0,78.25,3.2742341973506033,1.0,50,25,50
Config_44,88.0,82.58333333333333,2.9790024727996287,1.0,50,25,100
Config_48,60.66666666666667,82.08333333333333,2.1098290949433265,1.0,50,50,100
Config_49,100.0,77.08333333333334,3.309286752439168,1.0,100,5,10
Config_50,100.0,77.08333333333334,3.309286752439168,1.0,100,5,20
Config_51,100.0,77.08333333333334,3.309286752439168,1.0,100,5,50
Config_53,100.0,77.08333333333334,3.309286752439168,1.0,100,10,10
Config_54,100.0,77.08333333333334,3.309286752439168,1.0,100,10,20
Config_55,100.0,77.08333333333334,3.309286752439168,1.0,100,10,50
Config_57,100.0,77.08333333333334,3.309286752439168,1.0,100,25,10
Config_58,100.0,77.08333333333334,3.309286752439168,1.0,100,25,20
Config_59,100.0,77.08333333333334,3.309286752439168,1.0,100,25,50
Config_61,100.0,77.08333333333334,3.309286752439168,1.0,100,50,10
Config_62,100.0,77.08333333333334,3.309286752439168,1.0,100,50,20
Config_64,98.0,78.25,3.2742341973506033,1.0,100,50,100
Config_67,80.66666666666666,84.69444444444444,2.7716688187152894,2.0,10,5,50
Config_68,80.0,84.77777777777777,2.736757268800234,2.0,10,5,100
Config_72,56.00000000000001,84.77777777777777,1.9683637196784285,2.0,10,10,100
Config_83,86.66666666666667,83.25,2.846967678726882,2.0,20,5,50
Config_84,80.66666666666666,84.69444444444444,2.7716688187152894,2.0,20,5,100
Config_85,100.0,76.91666666666667,3.2742341973506024,2.0,20,10,10
Config_87,85.33333333333334,83.58333333333333,2.9660634949412703,2.0,20,10,50
Config_88,80.66666666666666,84.69444444444444,2.7716688187152894,2.0,20,10,100
Config_98,100.0,77.08333333333334,3.309286752439168,2.0,50,5,20
Config_102,100.0,77.08333333333334,3.309286752439168,2.0,50,10,20
Config_106,100.0,77.08333333333334,3.309286752439168,2.0,50,25,20
Config_107,98.0,78.25,3.2742341973506033,2.0,50,25,50
Config_108,88.0,82.58333333333333,2.9790024727996287,2.0,50,25,100
Config_112,60.66666666666667,82.08333333333333,2.1098290949433265,2.0,50,50,100
Config_114,100.0,77.08333333333334,3.309286752439168,2.0,100,5,20
Config_115,100.0,77.08333333333334,3.309286752439168,2.0,100,5,50
Config_118,100.0,77.08333333333334,3.309286752439168,2.0,100,10,20
Config_119,100.0,77.08333333333334,3.309286752439168,2.0,100,10,50
Config_122,100.0,77.08333333333334,3.309286752439168,2.0,100,25,20
Config_123,100.0,77.08333333333334,3.309286752439168,2.0,100,25,50
Config_126,100.0,77.08333333333334,3.309286752439168,2.0,100,50,20
Config_128,98.0,78.25,3.2742341973506033,2.0,100,50,100
Config_129,61.33333333333333,81.19444444444443,1.104812010751216,5.0,10,5,10
Config_130,58.666666666666664,83.02777777777777,1.051296800963234,5.0,10,5,20
Config_131,55.333333333333336,84.52777777777777,1.122083382624341,5.0,10,5,50
Config_132,54.666666666666664,84.77777777777777,1.236245075538201,5.0,10,5,100
Config_135,46.666666666666664,84.69444444444444,1.087266315416148,5.0,10,10,50
Config_136,42.66666666666667,84.77777777777777,1.122083382624341,5.0,10,10,100
Config_146,95.33333333333334,78.91666666666667,3.10542855370673,5.0,20,5,20
Config_147,84.0,83.91666666666666,2.8129908054254,5.0,20,5,50
Config_148,81.33333333333333,84.52777777777777,2.715594913264182,5.0,20,5,100
Config_149,88.66666666666667,76.91666666666667,2.715594913264182,5.0,20,10,10
Config_150,83.33333333333334,79.58333333333333,2.5171400824119345,5.0,20,10,20
Config_151,77.33333333333333,84.25,2.4786461026489985,5.0,20,10,50
Config_152,76.0,84.69444444444444,2.447415033934971,5.0,20,10,100
Config_164,91.33333333333333,81.58333333333333,3.042872182258349,5.0,50,5,100
Config_170,100.0,76.58333333333334,3.2565664377862045,5.0,50,25,20
Config_171,98.0,78.25,3.2742341973506033,5.0,50,25,50
Config_172,88.0,82.58333333333333,2.9790024727996287,5.0,50,25,100
Config_176,60.66666666666667,82.08333333333333,2.1098290949433265,5.0,50,50,100
Config_179,100.0,77.08333333333334,3.309286752439168,5.0,100,5,50
Config_183,100.0,77.08333333333334,3.309286752439168,5.0,100,10,50
Config_185,100.0,75.58333333333334,3.1667494196403436,5.0,100,25,10
Config_187,100.0,77.08333333333334,3.309286752439168,5.0,100,25,50
Config_192,98.0,78.25,3.2742341973506033,5.0,100,50,100
Config_193,53.333333333333336,80.8611111111111,0.37906002450412557,10.0,10,5,10
Config_194,50.66666666666667,82.36111111111111,0.37906002450412557,10.0,10,5,20
Config_195,46.0,84.36111111111111,0.5089902922077038,10.0,10,5,50
Config_196,44.666666666666664,84.69444444444444,0.54546554063774,10.0,10,5,100
Config_198,45.33333333333333,81.69444444444444,0.3790600245041255,10.0,10,10,20
Config_199,40.666666666666664,84.52777777777777,0.5089902922077038,10.0,10,10,50
Config_209,71.33333333333334,80.19444444444443,1.6610451882961175,10.0,20,5,10
Config_210,61.33333333333333,80.69444444444443,0.8930468386502591,10.0,20,5,20
Config_211,58.666666666666664,83.36111111111111,1.087266315416148,10.0,20,5,50
Config_212,54.666666666666664,84.52777777777777,1.087266315416148,10.0,20,5,100
Config_213,74.0,79.8611111111111,1.8681114389486817,10.0,20,10,10
Config_214,60.66666666666667,81.19444444444443,0.9949072058895314,10.0,20,10,20
Config_215,57.99999999999999,83.19444444444444,1.0328424009760595,10.0,20,10,50
Config_228,90.66666666666666,81.75,3.0047132786328303,10.0,50,5,100
Config_231,98.66666666666667,77.58333333333334,3.2388023015199483,10.0,50,10,50
Config_232,88.66666666666667,82.25,2.926903385022128,10.0,50,10,100
Config_233,99.33333333333333,75.91666666666667,3.190947827940564,10.0,50,25,10
Config_234,97.33333333333334,76.58333333333334,3.117789213385046,10.0,50,25,20
Config_236,88.0,82.58333333333333,2.9790024727996287,10.0,50,25,100
Config_240,61.33333333333333,82.08333333333333,2.127980706395726,10.0,50,50,100
Config_256,98.0,78.25,3.2742341973506033,10.0,100,50,100
