Topic
embeded systems
mobile application development
information system
"web development, web programming"
"robotics, robotics engineering"
computer vision
artificial intelligence and machine learning
generative ai usage ethics
neuroscience
"natural language processing, nlp"
"networking, computer networks"
"database management, dbms"
"ux,ui research & design"
ultrasound indoor localization
distributed systems
mobile cellular networks
renewable energy system management
blockchain
recommender systems
chatbots
"human-computer interaction, hci"
internet of things (iot)
open on data analytics
ar
iot applications
embedded system development
computer science
battery energy storage management
software engineering & modeling
environment
green computing
high-speed computer and telecommunications networks
applied ai
antenna design
statistical methods in data science
fiber optic sensor
"vr,ar,computer graphic"
ai
information visualization & analytics
"product,service design"
big data
mixed reality
automated test and measurement systems
data mining
tinyml
health
big data analysis
"virtual reality, vr"
sustainable smart city
operational optimisation for sustainability
distributed haptics
clustering algorithms & optimization
wireless communication
"software testing, quality assurance"
time series analysis
"social media, social networking"
photonic devices
e-commerce games
interaction design
qualitative study
swarm and evolutionary computing
electronics
commercial projects
nanomaterial for ultrashort fiber laser
"computing study with qualitative & quantitative data (survey,interview)"
"game development, game design"
genai
smart transportation system
speech recognition
time series analysis
"e-commerce, online retail"
