config_name,first_choice_pct,avg_student_satisfaction_rate,workload_std_dev,balancing_penalty_weight,prog_first_choice,prog_second_choice,student_topic_satisfaction
Config_8,56.666666666666664,84.77777777777777,1.8885876800545933,1.0,10,10,100
Config_19,89.33333333333333,82.58333333333333,2.9334663733739186,1.0,20,5,50
Config_20,81.33333333333333,84.58333333333333,2.6292427182380553,1.0,20,5,100
Config_22,98.66666666666667,77.91666666666667,3.244734486332041,1.0,20,10,20
Config_23,84.66666666666667,83.75,2.8266305645292444,1.0,20,10,50
Config_43,98.0,78.25,3.2565664377862045,1.0,50,25,50
Config_68,80.0,84.77777777777777,2.5550541847077244,2.0,10,5,100
Config_72,55.333333333333336,84.77777777777777,1.8681114389486817,2.0,10,10,100
Config_82,100.0,77.25,3.280102302910945,2.0,20,5,20
Config_83,86.66666666666667,83.25,2.7924062483856504,2.0,20,5,50
Config_84,80.66666666666666,84.69444444444444,2.584985114200584,2.0,20,5,100
Config_85,100.0,76.25,3.148478564546349,2.0,20,10,10
Config_87,85.33333333333334,83.58333333333333,2.8198189321070557,2.0,20,10,50
Config_129,60.0,81.3611111111111,0.6718473114252792,5.0,10,5,10
Config_130,60.0,82.69444444444444,0.8488872593578873,5.0,10,5,20
Config_131,57.99999999999999,84.52777777777777,1.1886619668382754,5.0,10,5,50
Config_132,54.666666666666664,84.77777777777777,0.9554670436011059,5.0,10,5,100
Config_146,96.66666666666667,77.91666666666667,3.01110667782694,5.0,20,5,20
Config_147,84.0,83.75,2.5323738411632353,5.0,20,5,50
Config_148,81.33333333333333,84.52777777777777,2.5247684513527773,5.0,20,5,100
Config_149,88.66666666666667,76.91666666666667,2.5171400824119345,5.0,20,10,10
Config_150,86.0,79.25,2.4630800687866383,5.0,20,10,20
Config_151,78.0,84.25,2.351234119944769,5.0,20,10,50
Config_152,76.0,84.69444444444444,2.351234119944769,5.0,20,10,100
Config_168,90.66666666666666,81.91666666666667,2.9005029342181055,5.0,50,10,100
Config_176,60.66666666666667,82.08333333333333,2.1006944735986326,5.0,50,50,100
Config_193,56.00000000000001,81.69444444444444,0.3790600245041255,10.0,10,5,10
Config_194,54.666666666666664,82.36111111111111,0.3790600245041255,10.0,10,5,20
Config_195,48.66666666666667,84.36111111111111,0.5089902922077038,10.0,10,5,50
Config_196,47.333333333333336,84.69444444444444,0.5454655406377401,10.0,10,5,100
Config_199,42.0,84.52777777777777,0.5089902922077038,10.0,10,10,50
Config_209,70.0,80.94444444444444,1.4772095452706115,10.0,20,5,10
Config_210,61.33333333333333,81.02777777777777,0.6718473114252792,10.0,20,5,20
Config_211,59.333333333333336,82.69444444444444,0.7779620580179536,10.0,20,5,50
Config_212,57.333333333333336,84.52777777777777,1.051296800963234,10.0,20,5,100
Config_213,70.66666666666667,80.94444444444444,1.5409269070745368,10.0,20,10,10
Config_214,59.333333333333336,81.69444444444444,0.6119278821448645,10.0,20,10,20
Config_215,60.0,82.69444444444444,0.8488872593578873,10.0,20,10,50
Config_228,90.0,82.08333333333333,2.9334663733739186,10.0,50,5,100
Config_231,99.33333333333333,76.58333333333334,3.1423646721770373,10.0,50,10,50
Config_232,88.0,82.58333333333333,2.8266305645292444,10.0,50,10,100
Config_234,98.66666666666667,76.41666666666667,3.0805584474784626,10.0,50,25,20
Config_235,94.66666666666667,78.25,2.9660634949412703,10.0,50,25,50
Config_256,97.33333333333334,78.58333333333334,3.2029784759753985,10.0,100,50,100
